브랜드,소분류,상품명,정가,할인가
멜릭서,키트,비건 하이드레이션 키트,"86,000원","70,000원"
멜릭서,자외선차단제,비건 에어핏 선스크린,"30,000원", 
멜릭서,키트,비건 스타터 키트,"66,000원","54,000원"
멜릭서,크림,비건 릴리프 페이셜 크림,"48,000원", 
멜릭서,립,비건 립 버터 트리오,"36,000원","22,000원"
멜릭서,립버터,비건 립버터 아가베 듀오,"24,000원","15,800원"
멜릭서,토너,비건 밸런싱 토너,"18,000원","12,000원"
멜릭서,세럼,비건 뱀부 세럼,"38,000원", 
멜릭서,클렌저,비건 허베이셔스 젤 클렌저,"26,000원", 
멜릭서,키트,비건 클린 키트,"44,000원","34,000원"
멜릭서,립,비건 립 버터,"12,000원","7,900원"
멜릭서,오일,비건 스쿠알란 페이스 오일,"38,000원", 
