브랜드명,중분류명,소분류명,상품명,정가,할인가
보나쥬르,기초 화장품,기초 화장용 오일/앰플,로즈스템셀 앰플 30ml,"38,800"," 33,000"
보나쥬르,기초 화장품,기초 화장용 오일/앰플,더마 MDK 리페어 앰플 13g,"28,000"," 21,000"
보나쥬르,기초 화장품,기초 화장용 오일/앰플,흔적 집중 앰플 5종,"140,000"," 89,000"
보나쥬르,기초 화장품,기초 화장용 오일/앰플,유기농 호호바 오일 12ml,"18,000"," 10,800"
보나쥬르,기초 화장품,기초 화장용 오일/앰플,유기농 티트리 오일 10ml,"18,000"," 10,900"
보나쥬르,기초 화장품,기초 화장용 크림,래디언스 톤업 크림 50ml (메이크업부스터),"28,000"," 15,000"
보나쥬르,선 제품,선크림,무기자차 노세범 선크림 40ml (수부지),"25,000"," 18,000"
보나쥬르,선 제품,선크림,무기자차 데일리 선크림 35ml (민감성),"25,000"," 18,000"
보나쥬르,기초 화장품,기초 화장용 크림,언더커버 더마 비비크림 30ml,"23,000"," 18,000"
보나쥬르,뷰티 도구,화장 퍼프,CC쿠션 전용 찰떡 퍼프 3종,"5,000",
보나쥬르,스킨 케어,스킨케어 마스크팩,쑥 크림 카밍 팩 55g,"18,000"," 11,500"
보나쥬르,스킨 케어,스킨케어 머드팩,사해 머드 노세범 팩 50ml,"18,000"," 11,500"
보나쥬르,스킨 케어,스킨케어 마스크팩,부활초 마스크팩 25g,"4,000"," 3,500"
보나쥬르,스킨 케어,스킨케어 마스크팩,부활초 마스크팩 10+2매,"40,000"," 35,000"
보나쥬르,스킨 케어,스킨케어 마스크팩,익스트림 마스크팩 25g,"5,000"," 4,200"
보나쥬르,스킨 케어,스킨케어 마스크팩,익스트림 마스크팩 5매,"25,000"," 21,000"
보나쥬르,스킨 케어,스킨케어 마스크팩,익스트림 마스크팩 10매,"50,000"," 35,700"
보나쥬르,스킨 케어,스킨케어 마스크팩,그린티 마스크팩 25g,"2,000"," 1,500"
보나쥬르,스킨 케어,스킨케어 마스크팩,그린티 마스크팩 10매,"20,000"," 15,000"
보나쥬르,스킨 케어,스킨케어 마스크팩,프로폴리스 마스크팩 25g,"2,000"," 1,500"
보나쥬르,스킨 케어,스킨케어 마스크팩,프로폴리스 마스크팩 10매,"20,000"," 15,000"
